"b_OTU_1045" "b_OTU_109" "b_OTU_1093" "b_OTU_11" "b_OTU_112" "b_OTU_1191" "b_OTU_1200" "b_OTU_123" "b_OTU_13" "b_OTU_1431" "b_OTU_153" "b_OTU_17" "b_OTU_171" "b_OTU_18" "b_OTU_182" "b_OTU_20" "b_OTU_21" "b_OTU_22" "b_OTU_23" "b_OTU_235" "b_OTU_24" "b_OTU_25" "b_OTU_26" "b_OTU_27" "b_OTU_29" "b_OTU_304" "b_OTU_31" "b_OTU_329" "b_OTU_33" "b_OTU_34" "b_OTU_35" "b_OTU_36" "b_OTU_364" "b_OTU_37" "b_OTU_39" "b_OTU_41" "b_OTU_42" "b_OTU_44" "b_OTU_443" "b_OTU_444" "b_OTU_447" "b_OTU_46" "b_OTU_47" "b_OTU_48" "b_OTU_49" "b_OTU_51" "b_OTU_548" "b_OTU_55" "b_OTU_56" "b_OTU_57" "b_OTU_58" "b_OTU_59" "b_OTU_60" "b_OTU_625" "b_OTU_63" "b_OTU_662" "b_OTU_69" "b_OTU_72" "b_OTU_73" "b_OTU_74" "b_OTU_76" "b_OTU_8" "b_OTU_81" "b_OTU_87" "b_OTU_90" "b_OTU_98" "f_OTU_1" "f_OTU_2" "f_OTU_3" "f_OTU_4" "f_OTU_5" "f_OTU_6" "f_OTU_7" "f_OTU_8" "f_OTU_9" "f_OTU_10" "f_OTU_12" "f_OTU_13" "f_OTU_15" "f_OTU_17" "f_OTU_19" "f_OTU_20" "f_OTU_23" "f_OTU_24" "f_OTU_25" "f_OTU_26" "f_OTU_27" "f_OTU_28" "f_OTU_29" "f_OTU_30" "f_OTU_32" "f_OTU_33" "f_OTU_39" "f_OTU_40" "f_OTU_43" "f_OTU_46" "f_OTU_57" "f_OTU_63" "f_OTU_65" "f_OTU_68" "f_OTU_79" "f_OTU_317" "f_OTU_576" "f_OTU_579" "f_OTU_662" "f_OTU_672" "f_OTU_1011" "f_OTU_1085" "f_OTU_1090" "f_OTU_1141" "f_OTU_1278" "f_OTU_1567" "f_OTU_1656" "E_alphitoides"
"A1.12" 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 533 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481 2481
"A1.13" 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 1272 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746 2746
"A1.14" 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 836 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305 2305
"A1.15" 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1192 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202 1202
"A1.16" 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 329 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451 1451
"A1.17" 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 779 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693 2693
"A1.18" 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 660 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103 2103
"A1.19" 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 482 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560 2560
"A1.20" 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 294 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958 1958
"A1.21" 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 454 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510 2510
"A1.22" 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 877 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638 2638
"A1.23" 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 656 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421 2421
"A1.24" 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 509 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259 2259
"A1.25" 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1941 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755 1755
"A1.26" 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 823 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183 2183
"A1.28" 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156 2156
"A1.29" 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 495 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375 2375
"A1.30" 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 517 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822 1822
"A1.31" 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2440 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585 2585
"A1.32" 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765 1765
"A1.33" 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475 1475
"A1.34" 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 657 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737
"A1.35" 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 479 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341 2341
"A1.36" 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 857 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241 2241
"A1.37" 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096 2096
"A1.38" 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 413 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384 2384
"A1.39" 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 951 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412
"A1.40" 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 397 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187 2187
"A2.01" 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 761 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197
