"Sample" "tree" "branch" "leafNo" "distTObase" "distTOtrunk" "distTOground" "pmInfection" "orientation" "readsTOTfun" "readsTOTbac"
"A2.13" "A2.13" "susceptible" 2 13 236 156 226 1 "SW" 2529 390
"A2.14" "A2.14" "susceptible" 2 14 221 150 222 0 "SW" 2199 549
"A2.15" "A2.15" "susceptible" 2 15 218 159 227 2 "SW" 2784 114
"A2.16" "A2.16" "susceptible" 2 16 199 145 219 2 "SW" 3118 305
"A2.17" "A2.17" "susceptible" 2 17 164 134 211 10 "SW" 2557 755
"A2.18" "A2.18" "susceptible" 2 18 148 125 206 7 "SW" 2349 1522
"A2.19" "A2.19" "susceptible" 2 19 150 122 203 7 "SW" 2017 1526
"A2.20" "A2.20" "susceptible" 2 20 48 40 151 75 "SW" 2176 4781
"A2.21" "A2.21" "susceptible" 3 21 300 242 249 2 "NE" 2562 1092
"A2.22" "A2.22" "susceptible" 3 22 278 224 236 1 "NE" 2179 777
"A2.23" "A2.23" "susceptible" 3 23 244 197 216 2 "NE" 2623 948
"A2.24" "A2.24" "susceptible" 3 24 231 187 208 7 "NE" 2302 936
"A2.25" "A2.25" "susceptible" 3 25 184 148 181 5 "NE" 2091 2768
"A2.26" "A2.26" "susceptible" 3 26 175 141 175 10 "NE" 1909 1899
"A2.28" "A2.28" "susceptible" 3 28 131 106 149 15 "NE" 2052 352
"A2.29" "A2.29" "susceptible" 3 29 115 93 140 40 "NE" 1981 1049
"A2.30" "A2.30" "susceptible" 3 30 77 62 117 25 "NE" 1466 6957
"A2.31" "A2.31" "susceptible" 4 31 276 262 272 10 "NE" 2742 1662
"A2.32" "A2.32" "susceptible" 4 32 264 251 268 2 "NE" 2545 131
"A2.33" "A2.33" "susceptible" 4 33 251 239 264 20 "NE" 2687 1038
"A2.34" "A2.34" "susceptible" 4 34 230 218 258 5 "NE" 2187 895
"A2.35" "A2.35" "susceptible" 4 35 217 206 254 2 "NE" 2146 150
"A2.36" "A2.36" "susceptible" 4 36 193 183 246 1 "NE" 2247 551
"A2.37" "A2.37" "susceptible" 4 37 181 172 242 1 "NE" 2206 141
"A2.38" "A2.38" "susceptible" 4 38 156 148 235 1 "NE" 2649 290
"A2.39" "A2.39" "susceptible" 4 39 134 127 228 7 "NE" 2366 785
"A2.40" "A2.40" "susceptible" 4 40 82.5 78 212 1 "NE" 2104 820
"A3.01" "A3.01" "resistant" 1 1 223 209 116 0 "SW" 2037 784
"A3.02" "A3.02" "resistant" 1 2 214 200 113 1 "SW" 1911 367
"A3.03" "A3.03" "resistant" 1 3 201 188 108 0 "SW" 2304 1224
"A3.04" "A3.04" "resistant" 1 4 178 167 100 1 "SW" 1918 1183
"A3.05" "A3.05" "resistant" 1 5 168 157 97 0 "SW" 2072 200
"A3.06" "A3.06" "resistant" 1 6 158 148 93 0 "SW" 2462 11706
"A3.08" "A3.08" "resistant" 1 8 129 121 83 1 "SW" 2149 321
"A3.09" "A3.09" "resistant" 1 9 118 111 79 0 "SW" 1735 582
"A3.10" "A3.10" "resistant" 1 10 72 68 63 0 "SW" 1301 812
"A3.11" "A3.11" "resistant" 2 11 230 205 229 0 "SW" 1856 240
"A3.12" "A3.12" "resistant" 2 12 222 198 225 0 "SW" 2179 142
"A3.13" "A3.13" "resistant" 2 13 203 180 217 1 "SW" 2039 197
"A3.14" "A3.14" "resistant" 2 14 172 153 203 0 "SW" 2266 73
"A3.15" "A3.15" "resistant" 2 15 161 143 198 0 "SW" 2182 315
"A3.16" "A3.16" "resistant" 2 16 137 122 187 5 "SW" 3725 2088
"A3.17" "A3.17" "resistant" 2 17 123 110 180 0 "SW" 1740 362
"A3.18" "A3.18" "resistant" 2 18 102 91 171 0 "SW" 1466 344
"A3.19" "A3.19" "resistant" 2 19 86 77 163 0 "SW" 1345 1360
"A3.20" "A3.20" "resistant" 2 20 74 66 158 1 "SW" 1702 215
"A3.21" "A3.21" "resistant" 3 21 181 169 123 1 "NE" 1918 330
"A3.22" "A3.22" "resistant" 3 22 177 165 122 1 "NE" 1827 406
"A3.23" "A3.23" "resistant" 3 23 163 152 116 2 "NE" 2830 158
"A3.24" "A3.24" "resistant" 3 24 143 133 109 0 "NE" 1925 98
"A3.25" "A3.25" "resistant" 3 25 133 124 105 0 "NE" 1423 636
"A3.26" "A3.26" "resistant" 3 26 120 112 101 0 "NE" 1446 435
"A3.27" "A3.27" "resistant" 3 27 113 105 98 0 "NE" 2084 165
"A3.28" "A3.28" "resistant" 3 28 101 94 94 0 "NE" 1761 1688
"A3.29" "A3.29" "resistant" 3 29 68 63 82 1 "NE" 1844 1725
"A3.30" "A3.30" "resistant" 3 30 60 56 79 0 "NE" 1570 1137
"A3.31" "A3.31" "resistant" 4 31 262 200 229 0 "NE" 1652 265
"A3.32" "A3.32" "resistant" 4 32 253 193 223 0 "NE" 2156 279
"A3.33" "A3.33" "resistant" 4 33 242 185 216 0 "NE" 1882 237
"A3.34" "A3.34" "resistant" 4 34 227 174 206 0 "NE" 1579 712
"A3.35" "A3.35" "resistant" 4 35 212 162 197 0 "NE" 1636 1184
"A3.36" "A3.36" "resistant" 4 36 197 151 187 0 "NE" 2053 190
"A3.37" "A3.37" "resistant" 4 37 182 139 177 1 "NE" 1456 1975
"A3.38" "A3.38" "resistant" 4 38 169 129 169 0 "NE" 1510 1188
"A3.39" "A3.39" "resistant" 4 39 156 119 161 0 "NE" 1921 322
"A3.40" "A3.40" "resistant" 4 40 100 76 125 1 "NE" 2414 2429
