"b_OTU_1045" "b_OTU_109" "b_OTU_1093" "b_OTU_11" "b_OTU_112" "b_OTU_1191" "b_OTU_1200" "b_OTU_123" "b_OTU_13" "b_OTU_1431" "b_OTU_153" "b_OTU_17" "b_OTU_171" "b_OTU_18" "b_OTU_182" "b_OTU_20" "b_OTU_21" "b_OTU_22" "b_OTU_23" "b_OTU_235" "b_OTU_24" "b_OTU_25" "b_OTU_26" "b_OTU_27" "b_OTU_29" "b_OTU_304" "b_OTU_31" "b_OTU_329" "b_OTU_33" "b_OTU_34" "b_OTU_35" "b_OTU_36" "b_OTU_364" "b_OTU_37" "b_OTU_39" "b_OTU_41" "b_OTU_42" "b_OTU_44" "b_OTU_443" "b_OTU_444" "b_OTU_447" "b_OTU_46" "b_OTU_47" "b_OTU_48" "b_OTU_49" "b_OTU_51" "b_OTU_548" "b_OTU_55" "b_OTU_56" "b_OTU_57" "b_OTU_58" "b_OTU_59" "b_OTU_60" "b_OTU_625" "b_OTU_63" "b_OTU_662" "b_OTU_69" "b_OTU_72" "b_OTU_73" "b_OTU_74" "b_OTU_76" "b_OTU_8" "b_OTU_81" "b_OTU_87" "b_OTU_90" "b_OTU_98" "f_OTU_1" "f_OTU_2" "f_OTU_3" "f_OTU_4" "f_OTU_5" "f_OTU_6" "f_OTU_7" "f_OTU_8" "f_OTU_9" "f_OTU_10" "f_OTU_12" "f_OTU_13" "f_OTU_15" "f_OTU_17" "f_OTU_19" "f_OTU_20" "f_OTU_23" "f_OTU_24" "f_OTU_25" "f_OTU_26" "f_OTU_27" "f_OTU_28" "f_OTU_29" "f_OTU_30" "f_OTU_32" "f_OTU_33" "f_OTU_39" "f_OTU_40" "f_OTU_43" "f_OTU_46" "f_OTU_57" "f_OTU_63" "f_OTU_65" "f_OTU_68" "f_OTU_79" "f_OTU_317" "f_OTU_576" "f_OTU_579" "f_OTU_662" "f_OTU_672" "f_OTU_1011" "f_OTU_1085" "f_OTU_1090" "f_OTU_1141" "f_OTU_1278" "f_OTU_1567" "f_OTU_1656" "E_alphitoides"
"A1.12" 0 0 0 2 11 0 0 0 12 0 2 2 0 4 1 4 5 2 49 0 0 0 2 26 0 0 0 1 1 10 11 1 3 5 1 0 2 8 0 1 0 2 1 3 0 5 7 0 3 11 0 0 32 8 11 0 0 1 3 8 3 11 9 16 0 2 263 10 444 0 0 47 53 17 41 74 139 204 4 4 17 54 42 7 3 17 13 0 2 12 0 20 9 9 4 60 6 15 41 33 14 0 6 0 44 16 54 49 0 19 230 5 24 0
"A1.13" 0 0 0 4 2 0 0 2 3 0 0 7 0 62 0 12 1 1 55 0 1 0 3 34 7 0 3 21 3 2 145 1 1 61 2 1 0 42 1 8 0 7 0 3 0 24 0 0 10 2 4 3 4 7 12 0 8 14 4 8 2 62 13 8 0 7 388 17 454 0 0 38 54 83 22 262 0 33 3 9 25 70 22 3 0 37 30 7 0 5 0 69 24 3 1 32 0 51 54 2 90 0 10 0 33 18 26 0 0 25 324 17 23 0
"A1.14" 0 0 0 0 3 0 3 0 4 0 3 1 0 8 0 0 39 19 53 1 0 0 7 38 0 0 0 1 76 0 111 1 1 3 6 0 0 0 0 5 0 0 0 0 0 9 0 0 20 2 4 1 0 7 12 0 1 0 4 3 3 16 16 16 0 6 105 11 524 0 3 24 11 8 30 56 50 74 4 35 8 5 14 12 0 10 46 0 9 7 0 16 8 12 22 34 1 7 5 83 7 0 2 0 39 1 69 52 0 3 464 5 4 0
"A1.15" 0 0 0 29 0 3 0 3 50 1 0 3 0 20 0 4 0 5 92 1 0 0 0 58 19 1 0 3 1 1 99 0 4 25 0 0 0 3 1 0 0 15 3 3 0 38 0 0 1 7 16 1 0 16 7 0 2 1 3 10 5 275 10 5 0 11 135 3 291 0 0 16 52 33 17 49 0 19 1 34 15 9 6 4 0 15 19 0 0 19 0 16 1 2 6 18 2 19 18 6 11 0 5 0 18 4 52 20 0 2 114 5 1 1
"A1.16" 0 0 0 3 0 0 1 1 6 0 0 0 0 0 0 2 1 0 45 0 0 1 0 26 0 3 6 1 1 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 13 0 1 5 11 0 0 3 9 1 0 0 0 0 4 0 5 6 4 0 8 170 2 263 0 0 4 38 79 4 208 7 51 14 15 33 25 16 19 0 18 1 0 0 12 0 69 0 6 6 33 0 15 14 8 24 0 5 0 11 0 42 3 0 15 56 0 0 0
"A1.17" 0 0 0 99 1 2 0 0 15 1 0 1 0 0 0 6 0 2 62 3 0 0 0 34 0 0 13 0 0 0 0 62 1 2 0 0 40 0 2 0 0 5 8 2 0 22 0 0 9 11 0 0 1 9 2 0 0 0 1 7 0 69 8 2 0 23 320 15 487 0 0 37 70 71 27 331 0 6 0 2 85 3 10 84 0 20 73 0 0 41 0 43 0 4 3 41 1 8 23 10 288 0 47 0 20 4 44 1 0 0 181 16 3 0
"A1.18" 0 0 0 41 0 6 0 2 37 2 0 0 1 9 0 3 0 3 59 2 0 0 0 19 2 0 3 2 4 0 0 6 9 9 0 1 0 11 1 5 0 1 0 0 0 11 0 0 3 8 0 1 0 4 6 0 4 0 0 7 0 54 8 3 0 4 193 9 529 0 0 60 18 3 27 29 4 66 0 0 0 46 40 3 0 13 62 0 5 10 0 15 11 20 1 52 0 8 16 9 4 0 3 0 33 24 83 67 0 0 117 4 33 99
"A1.19" 0 0 0 6 0 3 0 0 5 0 0 3 0 1 0 0 1 2 32 0 0 1 0 32 0 0 2 0 5 1 9 6 5 5 0 0 2 0 0 0 0 2 3 0 0 8 0 0 5 13 0 1 18 5 9 0 2 0 0 6 1 67 3 9 0 10 485 1 535 0 1 37 59 78 30 161 0 9 0 9 27 4 21 43 2 15 19 0 0 48 1 23 39 6 1 38 5 75 64 8 20 0 14 0 51 18 58 12 0 4 95 22 18 0
"A1.20" 0 0 0 1 0 0 0 0 14 1 0 3 0 1 1 0 1 0 27 0 0 0 0 20 0 0 2 1 0 0 0 29 7 1 1 0 0 3 0 0 0 1 0 2 0 2 0 0 6 12 0 0 1 4 2 0 0 1 1 5 0 7 5 7 0 4 235 18 222 0 4 13 11 19 23 92 0 19 1 7 5 9 9 5 0 18 29 1 3 79 0 44 1 2 3 71 3 28 10 13 13 0 8 0 17 2 114 10 0 15 473 13 9 1
"A1.21" 2 1 0 13 0 3 0 0 11 0 0 0 2 3 0 17 0 8 31 1 4 0 0 40 3 3 4 1 1 0 0 1 0 2 0 0 8 0 2 0 0 3 2 2 0 15 0 1 11 7 1 0 2 5 10 0 0 2 0 9 0 19 14 6 0 2 250 36 309 0 0 16 37 86 24 70 0 19 11 7 75 74 0 50 0 117 15 4 0 10 0 26 0 0 0 12 85 83 61 1 0 0 150 0 13 8 36 11 0 46 464 1 3 15
"A1.22" 0 0 0 15 5 9 0 0 103 1 1 2 0 13 0 0 1 6 37 0 0 1 0 22 3 0 3 4 0 1 3 118 11 7 3 0 1 0 0 0 0 9 19 5 0 14 0 9 3 8 4 0 3 6 2 0 4 2 4 7 1 91 2 13 0 12 517 10 247 0 0 19 63 117 9 127 1 10 0 169 48 27 2 64 0 16 150 3 0 18 0 10 10 3 0 22 10 29 43 0 0 0 224 0 29 27 72 3 0 28 171 11 6 1
"A1.23" 0 0 0 10 0 0 2 5 7 0 0 1 0 1 0 1 40 1 33 1 0 5 0 18 7 0 0 2 16 0 0 0 2 7 0 0 0 3 0 2 0 2 4 0 0 19 0 2 12 3 5 0 3 5 20 0 2 0 1 12 3 90 17 3 0 2 44 11 626 0 0 2 45 3 482 20 4 15 153 42 5 18 12 2 157 15 49 0 37 4 0 0 5 3 1 23 0 4 6 1 0 0 20 0 50 13 41 7 0 2 190 10 8 0
"A1.24" 0 0 0 17 1 7 2 3 3 0 0 4 0 5 0 2 4 1 33 0 2 0 2 22 1 0 0 4 0 1 2 5 6 10 3 4 1 3 0 4 0 6 6 1 0 12 0 0 3 7 0 0 1 2 5 0 3 1 3 9 0 47 15 11 0 11 209 6 650 0 1 14 13 35 2 47 1 21 0 61 120 46 28 22 0 53 23 0 1 11 0 32 37 8 0 25 0 20 14 8 0 0 10 0 99 29 95 8 0 2 203 9 12 0
"A1.25" 0 0 3 11 0 6 195 4 16 0 41 6 1 36 0 20 356 17 36 1 8 1 99 30 4 1 2 3 179 66 0 43 2 9 0 14 0 58 0 1 0 7 2 4 0 19 12 1 16 13 0 2 6 11 7 0 2 1 3 8 11 71 9 9 0 4 74 4 429 0 1 14 18 3 67 1 1 40 3 4 3 23 14 10 2 12 3 0 135 2 0 8 4 18 10 65 0 12 6 8 0 1 6 0 41 2 88 64 0 4 57 14 33 3
"A1.26" 0 0 0 25 0 4 0 3 28 1 0 1 1 11 0 6 0 0 27 2 0 0 1 7 11 0 2 4 0 0 1 11 9 30 0 36 0 13 2 7 0 20 10 6 0 10 0 1 1 5 32 0 3 2 5 0 9 2 4 1 9 210 6 1 0 6 145 8 696 0 0 26 34 27 18 28 9 18 4 137 18 12 6 3 1 10 28 0 14 27 0 3 43 1 0 23 2 15 8 9 0 0 36 0 72 12 46 8 0 6 116 18 90 3
"A1.28" 0 0 0 50 0 2 1 5 58 0 0 2 0 13 0 2 2 0 21 2 0 0 0 31 5 0 2 10 1 0 5 22 15 12 0 11 3 8 0 7 0 28 13 5 0 4 0 0 11 13 68 1 3 2 14 0 0 0 0 2 3 301 7 5 0 10 169 6 578 0 0 6 63 52 13 35 1 23 0 119 18 26 8 56 5 20 23 0 0 62 0 6 50 8 16 29 10 9 8 11 0 0 43 0 59 16 40 19 0 3 86 13 59 3
"A1.29" 0 0 0 4 2 0 0 0 7 0 0 1 0 10 0 1 3 2 44 0 0 0 0 24 3 0 0 2 10 0 5 17 1 7 0 1 1 6 0 0 0 13 10 1 0 26 0 0 9 8 1 0 0 6 8 0 4 0 0 4 0 66 7 0 0 6 378 5 339 0 0 32 61 121 29 142 1 21 2 55 20 29 22 49 3 64 6 0 0 61 0 35 96 4 1 29 2 48 51 22 0 1 22 0 66 31 32 1 0 3 48 56 42 0
"A1.30" 0 0 0 9 2 1 1 0 15 1 1 2 0 7 0 1 0 3 22 1 0 3 0 19 0 0 0 13 8 0 1 13 1 29 0 1 1 0 0 1 0 17 8 5 0 9 0 0 5 9 7 0 4 3 4 0 7 5 2 2 1 61 2 7 0 6 215 3 317 0 2 36 16 11 13 12 15 12 0 20 1 27 8 18 3 26 2 2 4 59 0 17 31 1 0 19 0 16 9 10 0 0 5 0 58 19 31 18 0 6 63 23 188 5
"A1.31" 1 1 0 249 6 88 0 2 221 0 4 55 1 104 0 5 7 13 29 0 0 0 5 14 8 1 0 4 2 10 1 33 76 38 1 288 1 29 9 2 3 51 35 127 1 20 3 0 8 11 0 21 1 5 5 0 15 1 31 4 3 290 8 11 0 6 380 20 238 0 0 21 59 85 18 107 3 17 3 16 205 28 13 25 6 66 8 1 6 97 0 36 7 0 2 20 7 57 54 0 0 0 65 0 31 28 20 3 0 95 297 44 18 0
"A1.32" 0 0 0 6 1 1 0 2 5 0 0 0 0 0 0 0 2 2 41 0 1 0 0 33 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 3 0 0 0 9 0 0 3 11 1 0 0 6 3 0 0 0 0 7 0 8 15 9 0 5 134 22 239 0 0 7 17 35 10 2 3 223 0 0 18 41 19 5 0 34 0 0 0 11 0 62 1 13 63 34 0 22 6 21 0 0 3 0 23 0 46 84 0 6 334 4 0 0
"A1.33" 0 0 0 11 0 0 0 0 16 0 0 1 0 0 0 2 2 1 12 1 0 0 1 20 0 0 0 0 0 0 0 3 2 3 0 0 0 1 0 0 0 0 2 0 0 5 0 2 6 13 0 0 0 4 4 0 0 0 1 9 0 9 0 8 0 4 285 7 31 0 2 4 40 30 15 124 0 62 0 1 60 42 13 9 0 29 0 0 0 7 0 117 2 10 32 44 0 47 53 8 0 0 0 0 9 0 27 13 0 22 108 2 0 0
"A1.34" 0 0 0 9 1 2 0 0 9 0 1 2 0 2 0 3 1 4 81 0 1 0 0 49 1 1 0 1 0 1 1 1 2 2 0 0 0 2 0 0 0 2 1 0 0 17 0 0 9 10 0 2 0 5 34 0 0 0 0 27 0 7 10 10 0 4 88 10 245 0 0 56 32 63 20 0 0 156 6 0 1 9 17 5 0 14 0 0 32 27 0 47 0 22 31 41 0 12 10 24 0 0 1 0 37 1 45 88 0 13 209 0 4 0
"A1.35" 0 0 0 6 4 0 0 0 7 0 1 0 0 1 0 16 2 5 49 0 2 0 3 28 0 1 2 0 0 3 2 11 2 5 3 0 3 3 0 1 0 2 0 0 3 18 2 2 8 11 0 0 6 6 7 0 0 0 1 3 0 19 3 17 0 1 548 8 259 0 1 15 38 143 26 166 0 17 2 22 39 12 13 15 0 25 8 2 3 48 0 163 2 3 3 58 0 21 37 35 0 0 12 0 42 6 59 13 0 0 114 12 20 0
"A1.36" 0 0 0 8 0 1 0 0 26 0 0 1 0 7 0 2 2 1 92 4 1 1 0 17 4 1 0 2 2 0 15 2 2 7 0 1 0 52 0 2 0 5 3 0 0 27 0 0 4 8 0 0 6 10 5 0 1 1 0 10 6 83 17 34 0 8 293 39 412 0 0 8 21 15 18 40 3 28 0 17 26 16 6 18 3 4 0 1 0 28 0 20 20 5 7 33 7 29 22 9 0 0 7 0 62 18 61 9 0 0 607 11 64 0
"A1.37" 0 0 0 15 0 0 0 0 49 0 0 0 1 1 0 2 3 2 58 1 1 0 0 26 2 0 0 3 0 0 0 58 5 2 0 1 3 6 1 0 0 5 2 0 0 6 0 0 9 6 0 0 6 7 8 0 1 0 0 3 1 43 12 17 0 5 382 9 223 0 0 14 47 19 21 144 0 34 0 65 44 9 4 1 9 3 1 0 0 150 0 38 52 1 0 31 6 11 4 5 0 1 2 0 58 4 22 7 0 0 376 38 70 0
"A1.38" 0 0 0 7 0 1 0 0 5 0 0 1 1 2 0 1 0 2 24 0 0 0 1 11 5 0 1 2 0 0 18 10 0 4 0 0 1 31 0 0 0 7 0 0 0 0 0 0 5 5 1 1 13 6 5 0 4 2 0 2 2 63 5 3 0 3 242 16 547 0 1 25 33 27 15 65 1 15 0 37 18 27 0 12 0 6 3 1 0 119 0 18 59 3 0 31 1 28 17 13 0 0 14 0 139 15 55 2 0 0 211 13 112 1
"A1.39" 0 0 0 13 1 3 0 3 2 1 14 5 0 8 0 0 2 24 68 1 1 0 24 44 1 0 0 2 0 0 21 9 2 15 0 3 0 60 0 0 0 17 9 2 0 13 0 0 21 14 2 0 47 10 16 0 2 1 1 9 0 67 7 4 0 14 154 8 550 0 0 31 72 17 23 35 0 24 0 40 5 29 2 15 0 25 11 0 1 89 0 8 63 2 0 18 2 13 9 20 0 0 25 0 129 32 51 6 0 0 257 8 153 0
"A1.40" 1 0 0 15 0 1 2 0 24 0 0 2 0 6 1 7 10 2 0 1 1 0 0 22 3 0 2 1 0 0 4 2 4 18 0 0 0 3 1 4 0 10 6 3 2 0 0 3 1 8 0 1 1 3 1 4 8 3 2 1 0 41 0 3 0 0 149 5 422 0 1 50 23 26 140 36 1 40 0 4 6 65 18 21 0 22 3 3 9 68 0 51 5 6 1 31 5 23 26 26 0 0 61 0 54 13 76 7 0 6 224 19 63 8
"A2.01" 18 0 2 44 0 5 1 2 10 1 0 8 2 7 8 22 2 33 4 1 16 0 0 8 16 8 39 3 1 0 39 1 1 9 0 26 20 14 0 2 1 7 14 0 0 1 0 0 10 5 4 4 5 5 8 17 5 3 7 8 0 99 0 1 0 0 207 0 282 0 79 13 29 2 41 13 0 33 1 8 6 46 68 26 8 314 24 52 28 0 21 20 5 11 1 0 12 0 0 0 0 10 42 3 3 1 0 27 0 7 85 11 0 333
"A2.02" 42 1 0 258 0 26 0 4 26 31 2 4 1 80 31 27 1 17 0 36 28 1 1 15 21 9 56 4 0 0 0 6 2 14 0 8 11 6 3 16 1 18 20 4 1 2 0 4 2 8 51 21 114 4 2 54 14 3 22 3 10 319 0 0 0 0 196 0 237 0 20 8 52 8 43 52 5 17 1 82 25 11 9 36 8 51 77 36 8 0 18 27 24 4 2 0 2 0 0 0 6 11 45 12 0 13 0 12 0 21 26 25 0 303
"A2.03" 54 0 2 451 0 26 0 24 310 18 1 18 8 118 32 175 0 155 4 23 115 0 2 10 77 77 75 4 5 0 0 1 10 21 0 1 33 3 10 33 8 22 71 8 3 1 0 0 6 2 17 39 1 2 6 193 26 22 34 1 2 1243 1 0 0 0 37 0 433 0 12 6 48 26 52 15 11 6 0 48 1 5 5 35 12 71 22 7 69 0 20 4 1 4 0 0 2 0 0 0 0 4 31 19 0 30 0 5 0 43 20 11 0 380
"A2.04" 35 1 2 176 0 49 0 8 47 0 3 20 1 35 35 40 2 12 2 2 7 2 2 13 40 11 17 0 5 0 1 7 3 7 0 5 4 0 4 8 0 4 14 0 5 2 0 3 7 5 10 6 0 1 2 41 10 4 4 5 0 363 0 0 0 0 88 1 323 0 23 8 37 18 36 8 1 55 0 42 1 22 15 12 0 103 12 24 29 0 16 4 0 10 3 0 8 0 1 0 0 2 20 11 0 6 0 41 0 15 23 2 0 333
"A2.05" 2 0 0 12 0 0 0 0 5 0 1 2 0 3 2 11 1 2 10 0 4 0 0 27 3 0 0 2 2 0 1 2 1 19 0 0 6 8 0 2 0 2 3 5 2 2 0 2 9 7 1 0 7 5 6 1 10 4 3 2 0 62 2 1 0 0 187 1 446 0 36 47 100 15 64 27 2 37 5 70 3 19 65 51 10 117 14 40 6 0 20 24 0 14 0 0 0 0 0 1 2 8 25 48 0 1 0 9 0 41 186 18 0 75
"A2.06" 0 0 0 14 0 2 0 1 8 0 0 2 0 7 2 6 2 1 1 1 2 0 0 6 3 2 3 2 0 0 0 4 2 13 0 2 3 19 0 2 1 2 4 1 2 0 0 1 2 1 4 1 23 4 5 2 6 1 0 1 0 50 0 0 0 0 257 1 317 0 30 46 82 31 56 285 18 20 2 55 26 6 4 6 4 35 38 18 2 0 82 5 20 4 0 0 3 0 0 0 2 6 51 7 0 8 0 0 0 13 227 4 0 13
"A2.07" 0 0 0 26 0 0 0 2 8 0 0 1 0 2 1 10 7 2 2 1 2 0 0 9 4 0 4 0 3 0 0 4 3 3 0 2 2 36 0 2 0 1 3 1 3 3 0 444 8 1 2 0 10 1 1 3 4 1 5 1 0 73 0 2 0 21 358 0 423 0 24 116 61 50 61 372 0 16 5 21 196 2 25 10 1 26 17 89 3 0 5 4 14 13 1 0 22 0 0 1 3 9 67 4 0 1 0 3 0 38 77 4 0 253
"A2.08" 21 93 5 219 2 27 0 6 30 0 24 87 30 63 16 55 39 155 1 3 148 0 33 8 22 94 95 9 18 1 1 5 6 28 0 0 11 0 4 26 12 2 23 1 5 0 1 0 11 7 9 26 3 3 7 36 11 14 9 7 15 162 0 0 0 0 43 0 295 0 46 62 39 2 135 9 24 72 7 14 2 8 63 19 15 51 15 19 70 0 83 4 7 28 7 0 4 0 0 0 0 17 11 51 0 13 0 141 0 45 78 1 0 246
"A2.09" 1 1 0 11 1 0 0 2 23 0 2 8 1 3 1 3 1 15 2 2 6 0 2 9 8 1 2 0 0 0 1 1 6 5 0 1 0 1 0 1 2 2 4 0 1 6 0 0 3 1 1 0 0 2 12 2 1 2 1 0 1 53 0 1 0 0 145 0 351 133 102 57 35 7 114 25 5 144 1 31 11 17 28 24 0 63 8 33 86 0 74 3 2 33 10 0 6 0 2 0 0 15 58 18 0 11 0 117 0 42 97 27 0 65
"A2.10" 170 178 0 1267 1 70 0 44 10 18 0 867 108 42 78 600 1 314 5 8 1389 0 1 26 400 296 523 3 0 1 3 6 0 12 1 4 82 4 71 113 133 1 16 2 53 2 0 0 2 14 6 23 0 4 8 163 15 35 3 8 0 411 0 0 2 1 71 0 220 71 21 2 55 5 34 11 316 24 0 50 11 22 22 1 4 139 19 20 35 0 6 7 4 2 0 0 26 0 0 0 0 2 30 176 0 14 0 14 0 58 28 0 0 685
"A2.11" 7 4 0 203 0 11 0 1 15 0 0 3 0 0 3 32 0 1 15 1 4 0 0 15 6 1 10 0 0 0 78 0 1 1 1 0 10 0 2 13 1 5 6 0 1 1 0 0 3 10 1 0 1 2 8 43 9 0 2 6 0 297 2 0 0 2 244 1 119 0 20 22 21 17 74 104 30 94 0 25 203 12 26 33 0 75 13 106 0 0 1 10 7 4 0 0 3 0 2 0 0 10 49 2 0 35 0 14 0 0 1153 30 0 44
"A2.12" 0 0 0 5 0 0 0 0 6 0 0 4 1 1 0 6 0 4 2 0 3 0 0 18 1 3 2 0 0 0 0 1 2 0 1 0 0 64 0 1 0 0 1 0 0 0 0 0 5 2 0 1 11 7 5 0 0 1 1 2 0 14 1 0 0 0 742 0 60 0 81 44 16 64 110 311 0 169 0 0 319 18 4 0 0 91 35 74 5 0 0 65 1 17 15 0 1 0 0 1 0 31 3 13 0 0 0 30 0 3 361 4 0 4
